batch_name,drift_type,dataset_drift_detected,drifted_feature_share,target_drift_detected,target_drift_p_value,accuracy,precision,recall,f1
batch_01,no_drift,False,0.0,True,0.008915,0.93,0.8545,0.4312,0.5732
batch_02,no_drift,False,0.0,True,0.007783,0.926,0.7727,0.4636,0.5795
batch_03,gradual_drift,False,0.2222,True,0.006548,0.928,0.8312,0.5203,0.64
batch_04,gradual_drift,False,0.2222,True,0.016969,0.924,0.6857,0.4706,0.5581
batch_05,gradual_drift,False,0.2222,True,0.026474,0.923,0.6,0.5426,0.5698
batch_06,gradual_drift,False,0.2222,True,0.001118,0.899,0.5876,0.4831,0.5302
batch_07,gradual_drift,False,0.2222,True,0.007623,0.893,0.5739,0.5323,0.5523
batch_08,sudden_drift,False,0.2222,True,0.003302,0.94,0.875,0.5833,0.7
batch_09,concept_drift,False,0.0556,False,0.132214,0.792,0.9355,0.2214,0.358
batch_10,concept_drift,False,0.0556,False,0.133792,0.794,0.9394,0.2348,0.3758
